Transaction Date,Created Date,Order ID,Currency Code,Amount,Service Tax Collected,Swachh Bharat Cess,Order Total,Payment Status,Order Status,Course Title,SC ID
2016-06-25 04:09:01,2016-06-25 03:55:43,45492,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-25 03:03:01,2016-06-25 02:53:57,45473,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-25 02:37:02,2016-06-25 02:33:59,45468,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-25 01:57:39,2016-06-25 01:52:18,45441,INR,3750,525,19,4313,failure,canceled,Certificate in Advanced MS Excel 2010,
2016-06-25 01:33:03,2016-06-25 01:23:27,45436,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-25 01:25:04,2016-06-25 01:08:41,45431,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-25 12:53:00,2016-06-25 12:46:32,45421,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,
2016-06-25 08:30:01,2016-06-25 12:46:04,45420,INR,22500,3150,113,25875,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-25 12:45:00,2016-06-25 12:40:00,45418,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-06-25 12:42:02,2016-06-25 12:39:27,45417,INR,24000,3360,120,27600,success,completed,Digital Marketing Professional Program in association with Google,SC0106
2016-06-25 02:01:00,2016-06-25 11:49:28,45396,INR,18000,2520,90,20700,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-26 10:56:01,2016-06-25 11:38:15,45391,INR,4000,560,20,4600,success,completed,Certificate in Advanced MS Excel 2010,SCTOWERS
2016-06-25 11:43:00,2016-06-25 11:38:12,45390,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-25 01:09:20,2016-06-25 11:09:21,45383,INR,10386,1454,52,11944,failure,canceled,Business Analytics ,SCTOWERS
2016-06-25 10:14:47,2016-06-25 10:12:53,45359,INR,263,37,1,302,failure,canceled,UNIX Shell Programming,
2016-06-25 10:04:02,2016-06-25 09:59:56,45356,INR,263,37,1,302,success,completed,UNIX File System,
2016-06-25 12:00:00,2016-06-25 09:06:41,45355,INR,3750,525,19,4313,canceled,canceled,Certificate in Advanced MS Excel 2010,
2016-06-24 11:10:00,2016-06-24 10:58:20,45300,INR,263,37,1,302,success,completed,Importance of Project Management,
2016-06-24 08:53:04,2016-06-24 08:50:06,45289,INR,22500,3150,113,25875,success,completed,Digital Marketing Professional Program in association with Google,
2016-06-25 10:34:04,2016-06-24 07:38:54,45277,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-24 10:00:37,2016-06-24 05:43:08,45246,INR,22500,3150,113,25875,failure,canceled,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-24 07:08:03,2016-06-24 05:04:47,45241,INR,7720,1081,39,8878,success,completed,Cloud Computing with MS Azure,SCG7CR
2016-06-24 04:20:24,2016-06-24 04:14:43,45231,,0,525,19,4313,,canceled,Certificate in Advanced MS Excel 2010,
2016-06-24 04:00:04,2016-06-24 03:44:41,45216,INR,22500,3150,113,25875,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-24 03:46:01,2016-06-24 03:29:37,45201,INR,6001,840,30,6901,success,completed,Business Analytics ,SCG7CR
2016-06-24 06:30:03,2016-06-24 02:56:35,45195,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-06-24 01:45:02,2016-06-24 01:42:08,45172,INR,10001,1400,50,11501,success,completed,Financial Modelling Using Excel,SCG7CR
2016-06-24 02:34:03,2016-06-24 01:39:28,45171,INR,12000,1680,60,13800,success,completed,Advanced Business Analytics with R,SCTOWERS
2016-06-24 12:32:04,2016-06-24 12:27:13,45150,INR,10500,1470,53,12075,success,completed,Advanced Business Analytics with R,SCG7CR
2016-06-24 12:55:04,2016-06-24 12:17:47,45148,INR,9518,1332,48,10945,success,completed,Project Management ,SCTOWERS
2016-06-24 12:21:05,2016-06-24 12:16:45,45147,INR,16257,2276,81,18695,success,completed,Advanced Digital Marketing,SCG7CR
2016-06-25 08:06:05,2016-06-24 12:09:58,45145,INR,17341,2428,87,19942,success,completed,Advanced Digital Marketing,SCTOWERS
2016-06-24 12:03:00,2016-06-24 11:58:32,45140,INR,6001,840,30,6901,success,completed,Business Analytics ,SCG7CR
2016-06-24 02:39:00,2016-06-24 11:37:47,45133,INR,10500,1470,53,12075,success,completed,Advanced Business Analytics with R,SCTOWERS
2016-06-25 12:30:00,2016-06-24 11:16:16,45129,INR,8259,1156,41,9498,success,completed,Digital Marketing Certification,SCTOWERS
2016-06-25 11:45:00,2016-06-24 10:40:02,45110,INR,4000,560,20,4600,success,completed,Certificate in Advanced MS Excel 2010,SCTOWERS
2016-06-24 12:00:00,2016-06-24 10:34:03,45105,INR,5193,727,26,5972,success,completed,MS Project,
2016-06-29 12:34:01,2016-06-24 10:33:41,45104,INR,17341,2428,87,19942,success,completed,Advanced Digital Marketing,SCG7CR
2016-06-24 11:04:01,2016-06-24 10:22:10,45084,INR,10588,1482,53,12176,success,completed,Big Data Analytics using Hadoop ,SCTOWERS
2016-06-24 07:47:02,2016-06-23 06:08:37,45007,INR,4000,560,20,4600,success,completed,Supply Chain Management,SCG7CR
2016-06-23 05:16:00,2016-06-23 05:13:44,45001,INR,9264,1297,46,10654,success,completed,Big Data Analytics using Hadoop ,SCG7CR
2016-06-23 05:07:58,2016-06-23 05:04:58,44997,INR,9264,1297,46,10654,failure,canceled,Big Data Analytics using Hadoop ,
2016-06-24 09:35:32,2016-06-23 04:56:16,44995,INR,10877,1523,54,12509,success,completed,Project Management ,SCG7CR
2016-06-23 03:52:00,2016-06-23 03:47:09,44983,INR,9264,1297,46,10654,success,completed,Big Data Analytics using Hadoop ,SCG7CR
2016-06-23 04:54:02,2016-06-23 03:42:09,44980,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-23 07:28:03,2016-06-23 03:35:30,44978,INR,17341,2428,87,19942,success,completed,Advanced Digital Marketing,SCG7CR
2016-06-23 03:24:02,2016-06-23 03:18:56,44969,INR,22514,3152,113,25892,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-06-23 01:34:04,2016-06-23 01:31:50,44932,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-23 01:05:02,2016-06-23 12:49:08,44924,INR,8259,1156,41,9498,success,completed,Digital Marketing Certification,SCG7CR
2016-06-23 02:34:00,2016-06-23 12:12:03,44907,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-23 12:16:01,2016-06-23 12:09:11,44903,INR,22514,3152,113,25892,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-24 09:34:04,2016-06-23 11:49:11,44894,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SC0104
2016-06-25 11:09:01,2016-06-23 11:34:45,44889,INR,24000,3360,120,27600,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-06-23 09:05:04,2016-06-23 11:08:02,44877,INR,9548,1337,48,10980,success,completed,Digital Marketing Certification,SCTOWERS
2016-06-23 11:15:00,2016-06-23 11:04:37,44870,INR,9548,1337,48,10980,success,completed,Digital Marketing Certification,SCTOWERS
2016-06-23 10:52:02,2016-06-23 10:44:25,44860,INR,40002,5600,200,46002,success,completed,CIMA - Advanced Diploma in Management Accounting ,SCTOWERS
2016-06-23 08:10:08,2016-06-23 08:06:43,44836,INR,2815,394,14,3237,failure,canceled,Python Developer ,
2016-06-23 12:51:00,2016-06-23 12:46:14,44746,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-23 12:08:02,2016-06-22 11:31:33,44741,INR,8000,1120,40,9200,success,completed,Project Management ,SCG7CR
2016-06-22 10:30:00,2016-06-22 10:05:02,44735,INR,10912,1528,55,12549,success,completed,Digital Marketing Certification,SCTOWERS
2016-06-22 09:09:01,2016-06-22 07:38:37,44722,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-22 07:48:00,2016-06-22 07:36:56,44721,INR,22514,3152,113,25892,success,completed,Digital Marketing Professional Program in association with Google,SC0106
2016-06-22 07:36:00,2016-06-22 07:34:11,44720,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-22 07:33:00,2016-06-22 07:29:00,44718,INR,3750,525,19,4313,failure,canceled,Certificate in Advanced MS Excel 2010,
2016-06-22 07:25:05,2016-06-22 07:08:57,44716,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-23 01:11:03,2016-06-22 06:55:34,44715,INR,22514,3152,113,25892,success,completed,Digital Marketing Professional Program in association with Google,SC0101
2016-06-22 06:20:01,2016-06-22 06:15:47,44710,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-22 04:50:30,2016-06-22 04:47:33,44694,INR,263,37,1,302,failure,canceled,Evolution of Business Analytics,
2016-06-22 04:50:05,2016-06-22 04:47:11,44693,INR,263,37,1,302,success,completed,Essential concepts of Business Strategy,
2016-06-22 06:36:05,2016-06-22 04:07:45,44679,INR,22514,0,0,0,success,cart,,SCTOWERS
2016-06-22 04:01:06,2016-06-22 03:58:00,44672,INR,11364,1591,57,13069,failure,canceled,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",
2016-06-22 04:01:01,2016-06-22 03:55:15,44671,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-22 03:52:03,2016-06-22 03:42:40,44656,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-22 02:57:03,2016-06-22 02:51:09,44633,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-22 02:27:03,2016-06-22 02:24:18,44627,INR,7720,1081,39,8878,success,completed,Cloud Computing with MS Azure,SCG7CR
2016-06-22 01:55:05,2016-06-22 01:50:14,44617,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-22 01:56:04,2016-06-22 01:47:21,44616,INR,17341,2428,87,19942,success,completed,Advanced Digital Marketing,SCTOWERS
2016-06-22 01:39:01,2016-06-22 01:36:31,44613,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-22 01:33:31,2016-06-22 01:29:15,44612,INR,11364,1591,57,13069,failure,canceled,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",
2016-06-22 12:30:00,2016-06-22 12:10:16,44583,INR,6755,946,34,7768,success,completed,Supply Chain Management,SC0106
2016-06-23 09:15:00,2016-06-22 11:50:23,44579,INR,5000,700,25,5750,success,completed,Financial Management,SCG7CR
2016-06-23 06:41:00,2016-06-22 10:30:48,44514,INR,7875,1103,39,9057,success,completed,Cloud Computing with AWS,SCG7CR
2016-06-27 02:48:02,2016-06-22 09:48:12,44507,INR,6000,840,30,6900,success,completed,Bank Probationary Officer (PO) Exam Coaching,SC0176
2016-06-22 09:39:36,2016-06-22 09:35:44,44506,INR,2815,394,14,3237,failure,canceled,Python Developer ,
2016-06-21 10:39:52,2016-06-21 10:27:37,44489,,0,840,30,6901,,canceled,Business Analytics ,SCG7CR
2016-06-21 07:21:02,2016-06-21 07:18:10,44481,INR,6750,945,34,7763,success,completed,Business Analytics ,
2016-06-21 06:50:01,2016-06-21 06:46:39,44477,INR,6750,945,34,7763,success,completed,Business Analytics ,SCG7CR
2016-06-22 10:56:00,2016-06-21 05:01:30,44466,INR,22514,3152,113,25892,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-06-21 05:02:05,2016-06-21 04:45:06,44464,INR,22500,3150,113,25875,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-21 04:41:05,2016-06-21 04:33:50,44463,INR,9088,1272,45,10451,success,completed,Business Analytics ,SCTOWERS
2016-06-21 04:31:04,2016-06-21 04:27:35,44462,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-21 04:18:05,2016-06-21 04:13:41,44451,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-21 04:18:01,2016-06-21 04:05:43,44448,INR,10912,1528,55,12549,success,completed,Digital Marketing Certification,SCG7CR
2016-06-21 04:04:01,2016-06-21 04:00:55,44447,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-21 04:00:00,2016-06-21 03:53:08,44445,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-21 03:50:04,2016-06-21 03:43:29,44443,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-21 03:37:05,2016-06-21 03:31:30,44428,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-22 02:38:01,2016-06-21 03:17:54,44421,INR,22500,3150,113,25875,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-06-21 03:26:00,2016-06-21 03:16:59,44420,INR,11364,1591,57,13069,success,completed,"Certification in HTML, CSS, Bootstrap, Java Script & JQuery",SCG7CR
2016-06-23 03:36:00,2016-06-21 03:16:56,44419,INR,22514,3152,113,25892,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-06-23 10:53:00,2016-06-21 02:51:50,44404,INR,4000,560,20,4600,success,completed,Certificate in Advanced MS Excel 2010,SCTOWERS
2016-06-21 02:30:00,2016-06-21 02:18:24,44386,INR,4000,560,20,4600,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-21 02:16:00,2016-06-21 02:13:41,44385,INR,263,37,1,302,success,completed,Introduction to Microprocessors,
2016-06-21 02:09:02,2016-06-21 02:04:52,44381,INR,6755,946,34,7768,failure,canceled,Supply Chain Management,
2016-06-21 01:08:03,2016-06-21 01:05:41,44374,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,
2016-06-22 01:02:05,2016-06-21 12:16:43,44361,INR,12000,1680,60,13800,success,completed,Advanced Business Analytics with R,SCTOWERS
2016-06-21 12:18:04,2016-06-21 12:14:16,44360,INR,263,37,1,302,success,completed,Basics of Financial Accounting,
2016-06-21 10:04:02,2016-06-21 10:24:14,44317,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-21 06:37:05,2016-06-21 10:22:21,44315,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-21 09:34:48,2016-06-21 09:33:14,44280,INR,2815,394,14,3237,failure,canceled,Python Developer ,
2016-06-21 09:30:03,2016-06-21 09:28:23,44279,INR,2815,394,14,3237,failure,canceled,Python Developer ,
2016-06-21 09:24:35,2016-06-21 09:18:20,44278,INR,2815,394,14,3237,failure,canceled,Python Developer ,
2016-06-20 11:48:02,2016-06-20 11:23:24,44260,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-20 11:10:05,2016-06-20 11:07:16,44258,INR,10386,1454,52,11944,success,completed,Business Analytics ,
2016-06-20 10:57:05,2016-06-20 10:54:28,44255,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-20 10:14:05,2016-06-20 10:04:14,44251,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-20 09:10:02,2016-06-20 08:38:05,44242,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-22 07:30:00,2016-06-20 08:09:32,44238,INR,7341,1028,37,8442,success,completed,Digital Marketing Certification,SCTOWERS
2016-06-20 07:45:00,2016-06-20 07:39:09,44236,INR,6000,840,30,6900,success,completed,Bank Probationary Officer (PO) Exam Coaching,SC0176
2016-06-20 07:37:07,2016-06-20 07:35:14,44235,INR,6000,840,30,6900,failure,canceled,Bank Probationary Officer (PO) Exam Coaching,
2016-06-20 07:15:03,2016-06-20 07:12:53,44233,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-20 06:15:03,2016-06-20 06:09:02,44219,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-20 09:15:02,2016-06-20 05:20:41,44205,INR,10877,1523,54,12509,success,completed,Project Management ,SCG7CR
2016-06-20 08:10:03,2016-06-20 05:13:57,44203,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SC0103
2016-06-20 10:21:01,2016-06-20 04:19:22,44189,INR,22500,3150,113,25875,success,completed,Digital Marketing Professional Program in association with Google,SCNORTH
2016-06-23 12:18:00,2016-06-20 04:14:28,44187,INR,24015,3362,120,27618,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-06-20 10:09:00,2016-06-20 04:10:20,44185,INR,12000,1680,60,13800,success,completed,Advanced Business Analytics with R,SCTOWERS
2016-06-21 07:49:57,2016-06-20 04:00:57,44181,INR,10912,1528,55,12549,success,completed,Digital Marketing Certification,SCTOWERS
2016-06-20 05:19:02,2016-06-20 03:06:18,44163,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-20 08:20:01,2016-06-20 02:53:27,44157,INR,22500,3150,113,25875,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-06-20 02:45:00,2016-06-20 02:27:18,44148,INR,12000,1680,60,13800,success,completed,Advanced Business Analytics with R,SCTOWERS
2016-06-20 02:07:03,2016-06-20 01:48:13,44131,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-20 01:28:03,2016-06-20 01:25:06,44126,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-20 03:12:00,2016-06-20 12:19:21,44107,INR,22500,3150,113,25875,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-06-20 12:08:09,2016-06-20 11:48:44,44101,INR,22500,3150,113,25875,failure,canceled,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-20 10:17:00,2016-06-20 09:11:39,44047,INR,4000,560,20,4600,success,completed,Certificate in Advanced MS Excel 2010,SCTOWERS
2016-06-19 11:01:59,2016-06-19 10:48:28,44034,INR,3750,525,19,4313,failure,canceled,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-20 04:52:01,2016-06-19 09:11:18,44020,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SC0107
2016-06-23 09:56:01,2016-06-19 06:27:58,44009,INR,20000,2800,100,23000,canceled,canceled,CIMA Gateway Prep Program,SC0101
2016-06-22 10:10:05,2016-06-19 06:00:12,44004,INR,22514,3152,113,25892,success,completed,Digital Marketing Professional Program in association with Google,SC0101
2016-06-19 10:35:05,2016-06-19 01:39:56,43992,INR,6424,899,32,7387,success,completed,Digital Marketing Certification,SCG7CR
2016-06-19 11:50:04,2016-06-19 11:46:25,43984,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-19 07:58:00,2016-06-19 07:49:30,43975,INR,4500,630,23,5175,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-18 11:17:05,2016-06-18 11:09:50,43969,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-18 11:59:27,2016-06-18 10:58:54,43968,INR,9548,1337,48,10980,failure,canceled,Digital Marketing Certification,SCG7CR
2016-06-18 10:57:05,2016-06-18 10:47:41,43966,INR,6750,945,34,7763,success,completed,Business Analytics ,SCG7CR
2016-06-19 12:02:01,2016-06-18 10:16:58,43964,INR,12078,,,12078,success,completed,Digital Marketing Certification,SCG7CR
2016-06-18 07:11:02,2016-06-18 07:01:16,43948,INR,13283,,,13283,canceled,canceled,Advanced Business Analytics with R,SCG7CR
2016-06-18 06:08:03,2016-06-18 06:04:28,43932,INR,2001,280,10,2301,success,completed,Developer Program with Java and RDBMS,SCG7CR
2016-06-18 06:14:00,2016-06-18 05:41:38,43928,INR,22500,3150,113,25875,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-18 05:41:04,2016-06-18 05:36:27,43925,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-18 05:47:04,2016-06-18 05:18:30,43894,INR,9548,1337,48,10980,success,completed,Digital Marketing Certification,SCG7CR
2016-06-18 06:52:00,2016-06-18 05:10:29,43887,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-18 08:31:03,2016-06-18 04:51:51,43878,INR,4000,560,20,4600,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-20 01:16:02,2016-06-18 04:27:26,43813,INR,10877,1523,54,12509,success,completed,Project Management ,SCTOWERS
2016-06-18 06:55:02,2016-06-18 04:25:31,43812,INR,8751,1225,44,10063,success,completed,Financial Modelling Using Excel,SCG7CR
2016-06-18 04:31:05,2016-06-18 04:23:10,43810,INR,8000,1120,40,9200,success,completed,Mobile Marketing,SCG7CR
2016-06-18 04:48:04,2016-06-18 04:08:02,43802,INR,9088,1272,45,10451,success,completed,Business Analytics ,SCNORTH
2016-06-18 02:52:01,2016-06-18 02:46:39,43768,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SC0106
2016-06-18 02:42:27,2016-06-18 02:30:33,43763,INR,21000,2940,105,24150,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-06-18 02:37:27,2016-06-18 02:29:33,43762,INR,5060,,,5060,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-18 01:20:37,2016-06-18 01:12:51,43753,INR,9264,1297,46,10654,success,completed,Big Data Analytics using Hadoop ,SCG7CR
2016-06-18 08:46:04,2016-06-18 12:33:22,43744,INR,15173,2124,76,17449,success,completed,Advanced Digital Marketing,SCTOWERS
2016-06-18 11:48:19,2016-06-18 11:46:23,43733,INR,263,37,1,302,success,completed,Evolution of Business Analytics,
2016-06-18 01:49:05,2016-06-18 11:41:06,43724,INR,3750,525,19,4313,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-06-18 12:49:00,2016-06-18 11:39:42,43722,INR,9548,1337,48,10980,success,completed,Digital Marketing Certification,SCG7CR
2016-06-18 11:00:00,2016-06-18 10:57:47,43710,INR,19508,2731,98,22434,success,completed,Advanced Digital Marketing,SCG7CR
2016-06-18 04:00:20,2016-06-18 10:50:56,43708,INR,9548,1337,48,10980,success,completed,Digital Marketing Certification,SCG7CR
2016-06-18 03:45:05,2016-06-18 10:29:03,43704,INR,2001,280,10,2301,success,completed,"Developer Program with C++, Unix & RDBMS",SCG7CR
2016-06-18 08:58:04,2016-06-18 08:54:16,43700,INR,263,37,1,302,success,completed,Essential concepts of Business Strategy,
2016-06-17 10:55:03,2016-06-17 10:48:37,43657,INR,11719,,,11719,success,completed,Big Data Analytics using Hadoop ,SCG7CR
2016-06-17 07:06:01,2016-06-17 07:04:37,43634,INR,4362,611,22,5016,success,completed,Online Android App Development,SCG7CR
